document_name,query,codes
RI_SB_22_2623,"(c) Municipalities may utilize a unified development review process for any application that includes ADUs, regardless of whether a city or town has opted into the current unified development review statute.","['Permitting/Approval', 'Local Gov', 'ADU', 'Authorization']"
RI_SB_22_2623,"(d) As part of the approval process, municipalities may exempt ADUs from all or part of utility assessment and/or tie in fees.","['Reducing Taxes/Fees', 'Local Gov', 'ADU', 'Authorization']"
RI_SB_22_2623,"(a) Accessory dwelling units may be counted towards meeting a municipality's affordable housing goals pursuant to chapter 53 of title 45, and may be counted towards the ten percent (10%) of the year-round housing units reported in the census as required by § 45-53-4, if the tenant of the unit has a one year lease and the following conditions are met: 

(1) The ADU is occupied by a household whose income does not exceed eighty percent (80%) of the area median income (AMI), adjusted for family size, as determined and certified by the selected approved monitoring agent; or 

(2) The ADU is leased to a household utilizing a publicly subsidized rental assistance voucher which that limits income to no more than eighty percent (80%) of the AMI, evidence of which is provided to the selected approved monitoring agent; and 

(3) The cost of rent, heat, and utilities other than telephone, cable, and internet, based on the number of the bedrooms in the unit does not exceed thirty percent (30%) of the gross annual household income for a household with eighty percent (80%) or less of area median income, adjusted for family size as certified by the selected approved monitoring age","['Counted Toward', 'Affordable', 'ADU', 'Authorization', 'Income Specification', 'Rent/Price Limit']"
RI_SB_22_2623,b) Accessory dwelling units eligible to be counted toward a community's affordable housing goal under this section shall be counted as one-half (0.5) units each in every year for which documentation required to establish eligibility under subsection (a) of this section is provided annually to Rhode Island housing by the selected approved monitoring agent,"['Counted Toward', 'ADU', 'Authorization']"
RI_SB_22_2623,"(c) Notwithstanding subsection (a) of this section, an accessory dwelling unit may not be counted toward meeting a municipality's affordable housing goal if the tenant is a claimed dependent on another individual's most recent tax filing unless one or more of the following applies:","['Counted Toward', 'ADU', 'Requirement']"
RI_SB_22_2623,(1) The claimed individual is an adult dependent receiving Supplemental Security Income (SSI) or Social Security Disability Income; or,"['Income Specification', 'ADU', 'Seniors']"
RI_SB_22_2623,(2) The claimed individual has documentation from a licensed medical professional certifying to the claimed individual's disability status; or,"['Disabilities', 'ADU']"
RI_SB_22_2623,n § 40.1-1-8.1,"['Disabilities', 'ADU']"
RI_SB_22_2623,(3) The claimed individual is a person with a developmental disability as defined in § 40.1-1-8.1,"['Disabilities', 'ADU']"
RI_SB_22_2623,"(3) The claimed individual is a person with a developmental disability as defined in § 40.1-1-8.1.

(d) ADUs serving eligible households as described in subsections (a) or (b) of this section shall be included in the next annual count of low- and moderate-income units following submittal of eligibility documentation to Rhode Island housing at one-half (0.5) units each","['Counted Toward', 'ADU']"
RI_SB_22_2623,"(a) Each municipality within the state shall furnish to the division of statewide planning information on: 

(1) Any ordinances enacted related to accessory dwelling units, including those that implement this section of law during the previous calendar year;","['Reporting', 'ADU', 'Local Gov', 'Requirement']"
RI_SB_22_2623,2) All accessory dwelling units permitted during each of the two (2) previous calendar years; and,"['Local Gov', 'Reporting', 'ADU']"
RI_SB_22_2623,(3) All accessory dwelling units issued a certificate of occupancy during each of the two (2) previous calendar years,"['Reporting', 'Local Gov', 'ADU']"
RI_SB_22_2623,"b) Municipalities shall provide the information in subsection (a) of this section annually by February 1. Statewide planning shall produce an annual report of municipal activity related to accessory dwelling units, with the information identified in subsection (a) of this section on a statewide basis and disaggregated by municipality and shall provide a copy of the report to the speaker of the house, the president of the senate and the secretary of housing by March 1.","['Reporting', 'Local Gov', 'ADU', 'Requirement']"
AZ_HB_24_2720,A. A MUNICIPALITY WITH A POPULATION OF MORE THAN SEVENTY-FIVE6 THOUSAND PERSONS SHALL ADOPT REGULATIONS THAT ALLOW ON ANY LOT OR PARCEL7 WHERE A SINGLE-FAMILY DWELLING IS ALLOWED ALL OF THE FOLLOWING:,"['As of Right', 'Zoning', 'Urban', 'Local Gov', 'Requirement']"
AZ_HB_24_2720,1. AT LEAST ONE ATTACHED AND ONE DETACHED ACCESSORY DWELLING UNIT9 AS A PERMITTED USE.,"['As of Right', 'ADU']"
AZ_HB_24_2720,2. A MINIMUM OF ONE ADDITIONAL DETACHED ACCESSORY DWELLING UNIT AS11 A PERMITTED USE ON A LOT OR PARCEL THAT IS ONE ACRE OR MORE IN SIZE IF AT12 LEAST ONE ACCESSORY DWELLING UNIT ON THE LOT OR PARCEL IS A13 RESTRICTED-AFFORDABLE DWELLING UNIT,"['As of Right', 'ADU', 'Affordable']"
AZ_HB_24_2720,"3. AN ACCESSORY DWELLING UNIT THAT IS SEVENTY-FIVE PERCENT OF THE15 GROSS FLOOR AREA OF THE SINGLE-FAMILY DWELLING ON THE SAME LOT OR PARCEL16 OR ONE THOUSAND SQUARE FEET, WHICHEVER IS LESS","['ADU', 'Unit Size']"
AZ_HB_24_2720,B. A MUNICIPALITY MAY NOT DO ANY OF THE FOLLOWING:,"['Local Gov', 'Requirement']"
AZ_HB_24_2720,1. PROHIBIT THE USE OR ADVERTISEMENT OF EITHER THE SINGLE-FAMILY19 DWELLING OR ANY ACCESSORY DWELLING UNIT LOCATED ON THE SAME LOT OR PARCEL20 AS SEPARATELY LEASED LONG-TERM RENTAL HOUSING.,"['ADU', 'Rent/Sell']"
AZ_HB_24_2720,"2. REQUIRE A FAMILIAL, MARITAL, EMPLOYMENT OR OTHER PREEXISTING22 RELATIONSHIP BETWEEN THE OWNER OR OCCUPANT OF A SINGLE-FAMILY DWELLING AND23 THE OCCUPANT OF AN ACCESSORY DWELLING UNIT LOCATED ON THE SAME LOT OR24 PARCEL","['Occupancy Limits', 'ADU']"
AZ_HB_24_2720,3. REQUIRE THAT A LOT OR PARCEL HAVE ADDITIONAL PARKING TO26 ACCOMMODATE AN ACCESSORY DWELLING UNIT OR REQUIRE PAYMENT OF FEES INSTEAD27 OF ADDITIONAL PARKING,"['Parking', 'ADU']"
AZ_HB_24_2720,"4. REQUIRE THAT AN ACCESSORY DWELLING UNIT MATCH THE EXTERIOR29 DESIGN, ROOF PITCH OR FINISHING MATERIALS OF THE SINGLE-FAMILY DWELLING30 THAT IS LOCATED ON THE SAME LOT AS THE ACCESSORY DWELLING UNIT.","['Building & Design Standards', 'ADU']"
AZ_HB_24_2720,"5. SET RESTRICTIONS FOR ACCESSORY DWELLING UNITS THAT ARE MORE32 RESTRICTIVE THAN THOSE FOR SINGLE-FAMILY DWELLINGS WITHIN THE SAME ZONING33 AREA WITH REGARD TO HEIGHT, SETBACKS, LOT SIZE OR COVERAGE OR BUILDING34 FRONTAGE","['Height', 'Lot Sizes', 'Building & Design Standards', 'ADU', 'Set-backs']"
AZ_HB_24_2720,6. SET REAR OR SIDE SETBACKS FOR ACCESSORY DWELLING UNITS THAT ARE36 MORE THAN FIVE FEET FROM THE PROPERTY LINE,"['Set-backs', 'ADU']"
AZ_HB_24_2720,"7. REQUIRE IMPROVEMENTS TO PUBLIC STREETS AS A CONDITION OF38 ALLOWING AN ACCESSORY DWELLING UNIT, EXCEPT AS NECESSARY TO RECONSTRUCT OR39 REPAIR A PUBLIC STREET THAT IS DISTURBED AS A RESULT OF THE CONSTRUCTION40 OF THE ACCESSORY DWELLING UNIT.","['Building & Design Standards', 'ADU']"
AZ_HB_24_2720,8. REQUIRE A RESTRICTIVE COVENANT CONCERNING AN ACCESSORY DWELLING42 UNIT ON A LOT OR PARCEL ZONED FOR RESIDENTIAL USE BY A SINGLE-FAMILY43 DWELLING,['ADU']
AZ_HB_24_2720,"C. THIS SECTION DOES NOT PROHIBIT RESTRICTIVE COVENANTS CONCERNING1 ACCESSORY DWELLING UNITS ENTERED INTO BETWEEN PRIVATE PARTIES. THE2 MUNICIPALITY MAY NOT CONDITION A PERMIT, LICENSE OR USE OF AN ACCESSORY3 DWELLING UNIT ON ADOPTING OR IMPLEMENTING A RESTRICTIVE COVENANT BETWEEN4 PRIVATE PARTIES.","['ADU', 'No Requirement']"
AZ_HB_24_2720,"D. THIS SECTION DOES NOT SUPERSEDE APPLICABLE BUILDING CODES, FIRE6 CODES OR PUBLIC HEALTH AND SAFETY REGULATIONS, EXCEPT THAT A MUNICIPALITY7 MAY NOT REQUIRE AN ACCESSORY DWELLING UNIT TO COMPLY WITH A COMMERCIAL8 BUILDING CODE OR CONTAIN A FIRE SPRINKLER","['Building & Design Standards', 'ADU', 'No Requirement']"
AZ_HB_24_2720,"F. IF A MUNICIPALITY FAILS TO ADOPT DEVELOPMENT REGULATIONS AS15 REQUIRED BY THIS SECTION ON OR BEFORE JANUARY 1, 2025, ACCESSORY DWELLING16 UNITS SHALL BE ALLOWED ON ALL LOTS OR PARCELS ZONED FOR RESIDENTIAL USE IN17 THE MUNICIPALITY WITHOUT LIMITS","['Time of Adoption', 'Local Gov']"
AZ_HB_24_2720,"1. ""ACCESSORY DWELLING UNIT"" MEANS A SELF-CONTAINED LIVING UNIT27 THAT IS ON THE SAME LOT OR PARCEL AS A SINGLE-FAMILY DWELLING OF GREATER28 SQUARE FOOTAGE THAN THE ACCESSORY DWELLING UNIT, THAT INCLUDES ITS OWN29 SLEEPING AND SANITATION FACILITIES AND THAT MAY INCLUDE ITS OWN KITCHEN30 FACILITIES.","['ADU', 'Definition']"
AZ_HB_24_2720,"2. ""GROSS FLOOR AREA"" MEANS THE INTERIOR HABITABLE AREA OF A32 SINGLE-FAMILY DWELLING OR AN ACCESSORY DWELLING UNIT","['Unit Size', 'Definition']"
AZ_HB_24_2720,"3. ""LONG-TERM RENTAL"" MEANS RENTAL USE IN WHICH THE TENANT HOLDS A34 LEASE OF NINETY DAYS OR LONGER OR ON A MONTH-BY-MONTH BASIS.","['Rent/Sell', 'Definition']"
AZ_HB_24_2720,"4. ""MUNICIPALITY"" MEANS A CITY OR TOWN THAT EXERCISES ZONING POWERS36 UNDER THIS TITLE","['Local Gov', 'Definition']"
AZ_HB_24_2720,"5. ""PERMITTED USE"" MEANS THE ABILITY FOR A DEVELOPMENT TO BE38 APPROVED WITHOUT REQUIRING A PUBLIC HEARING, VARIANCE, CONDITIONAL USE39 PERMIT, SPECIAL PERMIT OR SPECIAL EXCEPTION, OTHER THAN A DISCRETIONARY40 ZONING ACTION TO DETERMINATION THAT A SITE PLAN CONFORMS WITH APPLICABLE41 ZONING REGULATIONS","['As of Right', 'Definition']"
AZ_HB_24_2720,"6. ""RESTRICTED-AFFORDABLE DWELLING UNIT"" MEANS A DWELLING UNIT1 THAT, EITHER THROUGH A DEED RESTRICTION OR A DEVELOPMENT AGREEMENT WITH2 THE MUNICIPALITY, SHALL BE RENTED TO HOUSEHOLDS EARNING UP TO EIGHTY3 PERCENT OF AREA MEDIAN INCOME","['Income Specification', 'Definition']"
CA_AB_22_687,"SECTION 1. Section 6539.7 is added to the Government Code, to read: 6539.7. (a) (1) Notwithstanding any other law, the County of Riverside and any of the cities located within western Riverside County that are members of the Western Riverside Council of Governments may enter into a joint powers agreement pursuant to this chapter to create and operate a joint powers agency to fund housing to assist the homeless population and persons and families of extremely low, very low, and low income, as defined in Section 50093 of the Health and Safety Code, within the County of Riverside.","['Specific Location', 'Increasing Funding', 'Local Gov', 'Low-Income', 'People Experiencing Homelessness', 'Authorization']"
CA_AB_22_687,"2) The joint powers agency created pursuant to this section shall be known as the Western Riverside County Housing Finance Trust, and shall be created and operate in accordance with this section.","['Increasing Funding', 'Authorization', 'Blanket Incentives']"
CA_AB_22_687,"(1) Fund the planning and construction of housing of all types and tenures for the homeless population and persons and families of extremely low, very low, and low income, as defined in Section 50093 of the Health and Safety Code, including, but not limited to, permanent supportive housing.","['Increasing Funding', 'Low-Income', 'People Experiencing Homelessness', 'Trust Fund Managers', 'Authorization', 'Blanket Incentives']"
CA_AB_22_687,(2) Receive public and private financing and funds.,"['Increasing Funding', 'Trust Fund Managers']"
CA_AB_22_687,"(3) Authorize and issue bonds, certificates of participation, or any other debt instrument repayable from funds and financing received pursuant to paragraph (2) and pledged by the Western Riverside County Housing Finance Trust.","['Increasing Funding', 'Bonds', 'Increasing Loan Access', 'Trust Fund Managers']"
CA_AB_22_687,(d) The Western Riverside County Housing Finance Trust shall incorporate into its joint powers agreement annual financial reporting and auditing requirements that shall maximize transparency and public information as to the receipt and use of funds by the agency. The annual financial report shall show how the funds have furthered the purposes of the Western Riverside County Housing Finance Trust.,"['Reporting', 'Trust Fund Managers', 'Requirement']"
CA_AB_22_687,(e) The Western Riverside County Housing Finance Trust shall comply with the regulatory guidelines of each specific state funding source received.,"['Trust Fund Managers', 'Requirement']"
HI_SB_24_3202,"""§46- Residential lots in urban districts. (a) 

Notwithstanding any law, ordinance, or building code or standard 

to the contrary, a residential lot within an urban district 

established by chapter 205 shall be allowed at least four 

residential units.","['As of Right', 'Density', 'Urban', 'Residential', 'Requirement']"
HI_SB_24_3202,"(b) For residential lots within an urban district 

established by chapter 205, each county: 

(1) Shall allow for attached and detached additional units or accessory dwelling units, as defined by each county;","['As of Right', 'Residential', 'Urban', 'ADU', 'Requirement']"
HI_SB_24_3202,"2) May: 

(A) Impose land use regulations; provided that these 

standards shall not preclude the development of 

four or more residential units on each residential 

lot;","['As of Right', 'Density', 'Zoning', 'Residential', 'Local Gov', 'Optional']"
HI_SB_24_3202,"(B) Restrict short-term rentals, as defined by each 

county, including by imposition of mandatory owner- 

occupancy requirements for short-term rentals; and","['Short-term Rentals', 'Local Gov', 'Optional']"
HI_SB_24_3202,"(C) Reject a permit application for development on the 

residential lot if the county determines there is 

1/26/25, 3:15 PM SB3202 

https://www.capitol.hawaii.gov/sessions/session2024/bills/SB3202_.HTM 5/15

insufficient infrastructure for the development; 

and","['Optional', 'Local Gov', 'Permitting/Approval']"
HI_SB_24_3202,"(3) Shall not adopt: 

(A) Accessory or additional dwelling unit 

owner‑occupancy requirements;","['Occupancy Limits', 'ADU', 'Local Gov', 'Requirement']"
HI_SB_24_3202,(B) Bans on long-term rentals; or,"['Rent/Sell', 'Local Gov', 'Requirement']"
HI_SB_24_3202,"(C) Setback and design requirements more restrictive 

than the principal unit. For purposes of this 

subparagraph, ""principal unit"" means the single- 

family housing unit, duplex, triplex, townhouse, or 

other housing unit located on the same lot as an 

accessory or additional dwelling unit.","['Set-backs', 'Building & Design Standards', 'Local Gov', 'Definition', 'Requirement']"
HI_SB_24_3202,"(c) This section shall not apply to: 

(1) County powers within special management areas delineated pursuant to chapter 205A; and 

(2) Any area within an urban district that a county deems to be at high risk of a natural hazard such as flooding, lava, or fire, as determined by the most current data and maps issued by a state or federal department or agency.""",['nan']
HI_SB_24_3202,"""§205- Private covenants; residential lots; urban 

district. No private covenant for a residential lot within an 

urban district adopted after the effective date of Act , 

Session Laws of Hawaii 2024, shall: 

(1) Limit the number of residential units on that lot below the amount allowed pursuant to section 46- ; or","['Density', 'Zoning', 'Residential', 'Urban', 'Requirement']"
HI_SB_24_3202,"(2) Restrict the long-term rental of residential units on that lot.""","['Rent/Sell', 'Residential', 'Urban', 'Requirement']"
HI_SB_24_3202,"""§46-4 County zoning. (a) This section and any ordinance, 

rule, or regulation adopted in accordance with this section shall 

apply to lands not contained within the forest reserve boundaries 

as established on January 31, 1957, or as subsequently amended.",['nan']
HI_SB_24_3202,"Zoning in all counties shall be accomplished within the 

framework of a long-range, comprehensive general plan prepared or 

being prepared to guide the overall future development of the 

county. Zoning shall be one of the tools available to the county 

to put the general plan into effect in an orderly manner. Zoning 

in the counties of Hawaii, Maui, and Kauai means the establishment 

of districts of such number, shape, and area, and the adoption of 

regulations for each district to carry out the purposes of this 

section. In establishing or regulating the districts, full 

consideration shall be given to all available data as to soil 

classification and physical use capabilities of the land to allow 

and encourage the most beneficial use of the land consonant with 

good zoning practices. The zoning power granted herein shall be 

exercised by ordinance which may relate to:","['Planning', 'Zoning', 'Local Gov', 'Definition']"
HI_SB_24_3202,"(c) [Each] Except as provided in section 46- , each county 

may adopt reasonable standards to allow the construction of two 

single-family dwelling units on any lot where a residential 

dwelling unit is permitted.","['Optional', 'Local Gov', 'Density', 'Residential']"
HI_SB_24_3202,"(d) Neither this section nor any other law, county 

ordinance, or rule shall prohibit group living in facilities with 

eight or fewer residents for purposes or functions that are 

licensed, certified, registered, or monitored by the State; 

provided that a resident manager or a resident supervisor and the 

resident manager's or resident supervisor's family shall not be 

included in this resident count. These group living facilities 

shall meet all applicable county requirements not inconsistent 

with the intent of this subsection, including but not limited to 

building height, setback, maximum lot coverage, parking, and floor 

area requirements","['Occupancy Limits', 'Local Gov', 'No Requirement']"
HI_SB_24_3202,"(e) Neither this section nor any other law, county 

ordinance, or rule shall prohibit the use of land for employee 

housing and community buildings in plantation community 

subdivisions as defined in section 205-4.5(a)(12); in addition, no 

zoning ordinance shall provide for the elimination, amortization, 

or phasing out of plantation community subdivisions as a 

nonconforming use.","['Zoning', 'Workforce', 'No Requirement']"
HI_SB_24_3202,"(g) Notwithstanding any other law, county ordinance, or 

rule, any application for subdivision, consolidation, or 

resubdivision of parcels within the state urban land use district 

reviewed pursuant to county ordinances relating to subdivision, 

1/26/25, 3:15 PM SB3202 

https://www.capitol.hawaii.gov/sessions/session2024/bills/SB3202_.HTM 10/15

consolidation, or resubdivision that are enacted by a county 

council as authorized by this section shall receive final approval 

from the director of the county agency responsible for land use; 

provided that: 

(1) All resulting parcels are residentially zoned and at least one thousand two hundred square feet in area","['Local Gov', 'Permitting/Approval', 'Residential', 'Lot Sizes', 'Requirement']"
HI_SB_24_3202,"(2) The parcel being subdivided is not located on a site that is: 

(A) Designated as important agricultural land; 

(B) On wetlands, as defined in the United States Fish 

and Wildlife Service Manual, Part 660 FW2; 

(C) Within a floodplain as determined by maps 

promulgated by the Federal Emergency Management 

Agency; 

(D) A habitat for protected or endangered species; 

(E) Within a state historic district or designated as a 

historic property on the Hawaii register of 

historic places or the national register of 

historic places; 

(F) Within lava zone one or lava zone two, as 

designated by the United States Geological Survey; 

or 

(G) Within the special management area, as defined in 

section 205A-22;","['Permitting/Approval', 'Local Gov']"
HI_SB_24_3202,"(3) The proposed subdivision would not require the demolition or alteration of housing that is subject to: 

(A) A recorded covenant, ordinance, or law that 

restricts rents to levels affordable to households 

1/26/25, 3:15 PM SB3202 

https://www.capitol.hawaii.gov/sessions/session2024/bills/SB3202_.HTM 11/15

of moderate, low, or very low income; or 

(B) Any form of rent or price control through an 

agency's valid exercise of its police power; and","['Affordable', 'Income Specification', 'Rent/Price Limit', 'Permitting/Approval', 'Local Gov']"
HI_SB_24_3202,"(4) The parcel of record was in existence prior to the effective date of Act , Session Laws of Hawaii 2024; 

provided further that the director of the county agency 

responsible for land use shall adopt rules pursuant to chapter 91 

to define the development standards and related infrastructure 

conditions to receive application approval from the respective 

director, including prohibitions if the parcel is located in the 

special management area, as defined in section 205A-22.""","['Permitting/Approval', 'Local Gov']"
HI_SB_24_3202,"""(d) An impact fee shall be substantially related to the 

needs arising from the development and shall not exceed a 

proportionate share of the costs incurred or to be incurred in 

accommodating the development. The following [seven] factors 

shall be considered in determining a proportionate share of public 

facility capital improvement costs: 

(1) The level of public facility capital improvements required to appropriately serve a development, based on a needs assessment study that identifies: 

(A) Deficiencies in existing public facilities; 

(B) The means, other than impact fees, by which 

existing deficiencies will be eliminated within a 

reasonable period of time; and 

1/26/25, 3:15 PM SB3202 

https://www.capitol.hawaii.gov/sessions/session2024/bills/SB3202_.HTM 12/15

(C) Additional demands anticipated to be placed on 

specified public facilities by a development;","['Reducing Taxes/Fees', 'Requirement', 'Conditional Incentives']"
HI_SB_24_3202,"(2) The availability of other funding for public facility capital improvements, including but not limited to user charges, taxes, bonds, intergovernmental transfers, and special taxation or assessments;","['Reducing Taxes/Fees', 'Authorization', 'Conditional Incentives', 'Developers']"
CO_HB_24_1152,"(1) ""ACCESSIBLE UNIT"" MEANS A HOUSING UNIT THAT: 

(a) SATISFIES THE REQUIREMENTS OF THE FEDERAL ""FAIR HOUSING ACT"", 42 U.S.C. SEC. 3601 ET SEQ., AS AMENDED; 

(b) INCORPORATES UNIVERSAL DESIGN; OR 

(C) IS EITHER A TYPE A DWELLING UNIT, AS DEFINED IN SECTION 9-5-101 (10), OR A TYPE B DWELLING UNIT, AS DEFINED IN SECTION 9-5-101 (12).",['Definition']
CO_HB_24_1152,"2) ""ACCESSORY DWELLING UNIT"" MEANS AN INTERNAL, ATTACHED, OR DETACHED DWELLING UNIT THAT: 

(a) PROVIDES COMPLETE INDEPENDENT LIVING FACILITIES FOR ONE OR MORE INDIVIDUALS; 

(b) IS LOCATED ON THE SAME LOT AS A PROPOSED OR EXISTING PRIMARY RESIDENCE; AND 

(C) INCLUDES FACILITIES FOR LIVING, SLEEPING, EATING, COOKING, AND SANITATION","['ADU', 'Definition']"
CO_HB_24_1152,"3) ""ACCESSORY DWELLING UNIT SUPPORTIVE JURISDICTION"" MEANS 

PAGE 6-HOUSE BILL 24-1152

A LOCAL GOVERNMENT THAT THE DEPARTMENT HAS CERTIFIED PURSUANT TO SECTION 29-35-104 AS AN ACCESSORY DWELLING UNIT SUPPORTIVE JURISDICTION.",['Definition']
CO_HB_24_1152,"(4) ""ACCESSORY USE"" MEANS A STRUCTURE OR THE USE OF A STRUCTURE ON THE SAME LOT WITH, AND OF A NATURE CUSTOMARILY INCIDENTAL AND SUBORDINATE TO, THE PRINCIPAL STRUCTURE OR USE OF THE STRUCTURE.",['Definition']
CO_HB_24_1152,"(5) (a) ""ADMINISTRATIVE APPROVAL PROCESS"" MEANS A PROCESS IN WHICH: 

(I) A DEVELOPMENT PROPOSAL FOR A SPECIFIED PROJECT IS APPROVED, APPROVED WITH CONDITIONS, OR DENIED BY LOCAL GOVERNMENT ADMINISTRATIVE STAFF BASED SOLELY ON ITS COMPLIANCE WITH OBJECTIVE STANDARDS SET FORTH IN LOCAL LAWS; AND 

(II) DOES NOT REQUIRE, AND CANNOT BE ELEVATED TO REQUIRE, A PUBLIC HEARING, A RECOMMENDATION, OR A DECISION BY AN ELECTED OR APPOINTED PUBLIC BODY OR A HEARING OFFICER. 

(b) NOTWITHSTANDING SUBSECTION (5)(a) OF THIS SECTION, AN ADMINISTRATIVE APPROVAL PROCESS MAY REQUIRE AN APPOINTED HISTORIC PRESERVATION COMMISSION TO MAKE A DECISION, OR TO MAKE A RECOMMENDATION TO LOCAL GOVERNMENT ADMINISTRATIVE STAFF, REGARDING A DEVELOPMENT APPLICATION INVOLVING A PROPERTY THAT THE LOCAL GOVERNMENT HAS DESIGNATED AS A HISTORIC PROPERTY, PROVIDED THAT: 

(I) THE STATE HISTORIC PRESERVATION OFFICE WITHIN HISTORY COLORADO HAS DESIGNATED THE LOCAL GOVERNMENT AS A CERTIFIED LOCAL GOVERNMENT; AND 

(II) THE APPOINTED HISTORIC PRESERVATION COMMISSION'S DECISION OR RECOMMENDATION IS BASED ON STANDARDS EITHER SET FORTH IN LOCAL LAW OR ESTABLISHED BY THE SECRETARY OF THE INTERIOR OF THE UNITED STATES.",['Definition']
CO_HB_24_1152,"6) ""COUNTY"" MEANS A COUNTY, INCLUDING A HOME RULE COUNTY BUT EXCLUDING A CITY AND COUNTY.","['Local Gov', 'Definition']"
CO_HB_24_1152,"7) ""DEPARTMENT"" MEANS THE DEPARTMENT OF LOCAL AFFAIRS.",['Definition']
CO_HB_24_1152,"(8) ""DWELLING UNIT"" MEANS A SINGLE UNIT PROVIDING COMPLETE INDEPENDENT LIVING FACILITIES FOR ONE OR MORE INDIVIDUALS, INCLUDING PERMANENT FACILITIES FOR COOKING, EATING, LIVING, SANITATION, AND SLEEPING.",['Definition']
CO_HB_24_1152,"(9) ""EXEMPT PARCEL"" MEANS A PARCEL THAT IS: 

(a) NOT SERVED BY A DOMESTIC WATER AND SEWAGE TREATMENT SYSTEM, AS DEFINED IN SECTION 24-65.1-104 (5), OR IS SERVED BY A WELL WITH A PERMIT THAT CANNOT SUPPLY AN ADDITIONAL DWELLING UNIT; 

(b) A HISTORIC PROPERTY THAT IS NOT WITHIN A HISTORIC DISTRICT; OR 

(c) IN A FLOODWAY OR IN A ONE HUNDRED YEAR FLOODPLAIN, AS IDENTIFIED BY THE FEDERAL EMERGENCY MANAGEMENT AGENCY.",['Definition']
CO_HB_24_1152,"(10) ""HISTORIC DISTRICT"" MEANS A DISTRICT ESTABLISHED BY LOCAL LAW THAT MEETS THE DEFINITION OF ""DISTRICT"" SET FORTH IN 36 CFR 60.3 (d).",['Definition']
CO_HB_24_1152,"(11) ""HISTORIC PROPERTY"" MEANS A PROPERTY LISTED: 

(a) ON THE NATIONAL REGISTER OF HISTORIC PLACES; 

(b) ON THE COLORADO STATE REGISTER OF HISTORIC PROPERTIES; OR 

(c) AS A CONTRIBUTING STRUCTURE OR HISTORIC LANDMARK BY A CERTIFIED LOCAL GOVERNMENT, AS DEFINED IN SECTION 39-22-514.5 (2)(b).",['Definition']
CO_HB_24_1152,"(12) ""LOCAL GOVERNMENT"" MEANS A MUNICIPALITY, COUNTY, OR TRIBAL NATION WITH JURISDICTION IN COLORADO.","['Local Gov', 'Definition']"
CO_HB_24_1152,"(13) ""LOCAL LAW"" MEANS ANY CODE, LAW, ORDINANCE, POLICY, REGULATION, OR RULE ENACTED BY A LOCAL GOVERNMENT THAT GOVERNS THE DEVELOPMENT AND USE OF LAND, INCLUDING LAND USE CODES, ZONING CODES, AND SUBDIVISION CODES.",['Definition']
CO_HB_24_1152,"14) ""LOW- AND MODERATE-INCOME HOUSEHOLD"" MEANS A HOUSEHOLD THAT IS CONSIDERED LOW-, MODERATE-, OR MEDIUM-INCOME, AS DETERMINED BY THE FEDERAL DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT.","['Low-Income', 'Middle-Income', 'Definition']"
CO_HB_24_1152,"15) ""METROPOLITAN PLANNING ORGANIZATION"" MEANS A METROPOLITAN PLANNING ORGANIZATION UNDER THE ""FEDERAL TRANSIT ACT OF 1998"", 49 U.S.C. SEC. 5301 ET SEQ., AS AMENDED.",['Definition']
CO_HB_24_1152,"16) ""MUNICIPALITY"" MEANS A HOME RULE OR STATUTORY CITY OR TOWN, TERRITORIAL CHARTER CITY OR TOWN, OR CITY AND COUNTY.",['Local Gov']
CO_HB_24_1152,"(17) ""OBJECTIVE STANDARD"" MEANS A STANDARD THAT: 

(a) IS A DEFINED BENCHMARK OR CRITERION THAT ALLOWS FOR DETERMINATIONS OF COMPLIANCE TO BE CONSISTENTLY DECIDED REGARDLESS OF THE DECISION MAKER; AND 

(b) DOES NOT REQUIRE A SUBJECTIVE DETERMINATION CONCERNING A DEVELOPMENT PROPOSAL, INCLUDING BUT NOT LIMITED TO WHETHER THE APPLICATION FOR THE DEVELOPMENT PROPOSAL IS: 

(I) CONSISTENT WITH MASTER PLANS, OR OTHER DEVELOPMENT PLANS; 

(II) COMPATIBLE WITH THE LAND USE OR DEVELOPMENT OF THE AREA SURROUNDING THE AREA DESCRIBED IN THE APPLICATION; OR 

(III) CONSISTENT WITH PUBLIC WELFARE, COMMUNITY CHARACTER, OR NEIGHBORHOOD CHARACTER.",['Definition']
